short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic
Wilson Eduardo,"RM, LM, ST",73,73,2900000.0,6.4623979978989565,2023.0,2.0,30,3,1,77.0,75.0,70.0,74.0,31.0,67.0
N. Jørgensen,ST,73,73,3000000.0,6.477121254719663,2024.0,3.0,30,3,2,65.0,73.0,70.0,71.0,39.0,74.0
Rafael Martins,ST,73,73,2500000.0,6.3979400086720375,2022.0,1.0,32,4,1,71.0,75.0,60.0,69.0,27.0,68.0
N. De Préville,"CAM, ST",73,73,2900000.0,6.4623979978989565,2024.0,3.0,30,3,2,74.0,73.0,72.0,74.0,37.0,68.0
M. Le Bihan,ST,73,73,2600000.0,6.414973347970818,2024.0,3.0,31,3,1,55.0,75.0,59.0,71.0,46.0,72.0
C. Gytkjær,ST,73,73,2600000.0,6.414973347970818,2025.0,4.0,31,4,1,71.0,73.0,57.0,69.0,33.0,74.0
A. Cornelius,ST,73,73,3100000.0,6.491361693834273,2025.0,4.0,28,3,2,64.0,73.0,57.0,65.0,35.0,80.0
S. Zoller,"ST, RM, LM",73,73,3000000.0,6.477121254719663,2024.0,3.0,30,3,1,72.0,74.0,65.0,73.0,39.0,65.0
V. Germain,"ST, RM",73,73,2600000.0,6.414973347970818,2023.0,2.0,31,4,2,68.0,74.0,70.0,73.0,39.0,66.0
L. Andersen,"LW, ST",73,73,3300000.0,6.518513939877887,2024.0,3.0,26,3,1,75.0,69.0,72.0,75.0,36.0,56.0
S. van de Streek,"CAM, CM, ST",73,73,3100000.0,6.491361693834273,2023.0,2.0,28,3,1,65.0,74.0,69.0,72.0,58.0,69.0
D. Gayle,ST,73,73,3000000.0,6.477121254719663,2024.0,3.0,30,4,1,75.0,74.0,58.0,73.0,28.0,60.0
Jairo,"LM, RM, ST",73,73,3200000.0,6.505149978319906,2022.0,1.0,27,4,2,84.0,63.0,69.0,74.0,29.0,56.0
T. Fountas,"CAM, ST, LM",73,76,4000000.0,6.6020599913279625,2022.0,1.0,25,3,1,88.0,75.0,66.0,75.0,48.0,65.0
C. Robinson,"ST, LW, LM",73,76,4000000.0,6.6020599913279625,2025.0,4.0,26,3,1,79.0,73.0,65.0,74.0,32.0,61.0
Rafael Silva,"ST, LW, RW",73,73,3000000.0,6.477121254719663,2025.0,4.0,29,3,1,85.0,73.0,67.0,74.0,30.0,69.0
K. Przybyłko,ST,73,73,3100000.0,6.491361693834273,2023.0,2.0,28,4,1,68.0,71.0,58.0,68.0,28.0,79.0
Marcos Júnior,"CAM, ST, CF",73,73,3100000.0,6.491361693834273,2022.0,1.0,28,4,1,88.0,73.0,70.0,75.0,32.0,65.0
B. Hrgota,"ST, RW",73,73,3100000.0,6.491361693834273,2024.0,3.0,28,4,1,73.0,73.0,65.0,74.0,27.0,65.0
A. Hassan,ST,73,73,3100000.0,6.491361693834273,2022.0,1.0,28,3,1,54.0,74.0,57.0,69.0,32.0,76.0
R. Quioto,"ST, LM",73,73,3000000.0,6.477121254719663,2022.0,1.0,29,4,1,82.0,71.0,70.0,71.0,24.0,80.0
Fran Sol,ST,73,73,3000000.0,6.477121254719663,2022.0,1.0,29,3,1,68.0,75.0,56.0,67.0,34.0,70.0
Lucas João,ST,73,73,3300000.0,6.518513939877887,2023.0,2.0,27,4,1,73.0,73.0,60.0,73.0,27.0,71.0
Ivan Cavaleiro,"ST, LM, RM",73,73,3300000.0,6.518513939877887,2024.0,3.0,27,3,1,86.0,72.0,67.0,75.0,39.0,73.0
A. Hurtado,"LW, ST, RW",73,73,1400000.0,6.146128035678238,2022.0,1.0,34,4,1,84.0,71.0,67.0,74.0,47.0,69.0
G. Zardes,ST,73,73,3000000.0,6.477121254719663,2021.0,0.0,29,5,3,85.0,71.0,52.0,68.0,44.0,79.0
L. Cavallini,ST,73,73,3100000.0,6.491361693834273,2022.0,1.0,28,4,2,73.0,71.0,50.0,68.0,37.0,85.0
F. Mora,"ST, RM",73,73,3300000.0,6.518513939877887,2022.0,1.0,27,3,1,78.0,73.0,55.0,71.0,27.0,67.0
T. Kleindienst,ST,73,76,4100000.0,6.6127838567197355,2025.0,4.0,25,5,1,66.0,75.0,53.0,63.0,33.0,79.0
A. Hunou,ST,73,74,3600000.0,6.556302500767287,2023.0,2.0,27,3,1,74.0,72.0,66.0,72.0,48.0,71.0
C. Auzqui,"ST, RM, CAM",73,73,3000000.0,6.477121254719663,2021.0,0.0,30,3,1,84.0,71.0,68.0,72.0,51.0,82.0
Henrique Dourado,ST,73,73,2600000.0,6.414973347970818,2021.0,0.0,31,3,1,68.0,75.0,63.0,66.0,34.0,80.0
J. Beauguel,ST,73,73,3000000.0,6.477121254719663,2022.0,1.0,29,3,1,68.0,72.0,52.0,68.0,31.0,79.0
J. Pohjanpalo,ST,73,74,3600000.0,6.556302500767287,2022.0,1.0,26,3,1,63.0,74.0,58.0,69.0,26.0,70.0
Everaldo,"ST, LM",73,73,3000000.0,6.477121254719663,2022.0,1.0,29,3,1,78.0,73.0,61.0,70.0,43.0,77.0
Gustavo,ST,73,74,3600000.0,6.556302500767287,2024.0,3.0,27,3,1,77.0,74.0,48.0,66.0,24.0,77.0
J. Correa,ST,73,73,3100000.0,6.491361693834273,2022.0,1.0,28,4,1,65.0,73.0,52.0,70.0,31.0,78.0
Manu García,"CAM, ST, LM",73,82,7000000.0,6.845098040014257,2022.0,1.0,23,4,1,78.0,69.0,72.0,75.0,40.0,56.0
K. Świderski,ST,73,78,4700000.0,6.672097857935717,2024.0,3.0,24,3,1,68.0,74.0,61.0,71.0,31.0,71.0
J. Otero,"RM, ST, RW",73,74,3600000.0,6.556302500767287,2023.0,2.0,26,3,1,91.0,74.0,65.0,74.0,31.0,71.0
Pedro Nuno,"ST, LM, LW",73,76,4000000.0,6.6020599913279625,2024.0,3.0,26,4,1,67.0,74.0,76.0,77.0,39.0,64.0
F. Andone,ST,73,73,3100000.0,6.491361693834273,2022.0,1.0,28,3,2,73.0,71.0,62.0,73.0,51.0,71.0
D. Solanke,ST,73,78,4700000.0,6.672097857935717,2022.0,1.0,23,3,1,72.0,71.0,62.0,73.0,27.0,74.0
R. Ábila,ST,73,73,2600000.0,6.414973347970818,2022.0,1.0,31,3,1,62.0,72.0,57.0,69.0,29.0,82.0
D. Valoyes,"RM, ST, LM",73,76,4200000.0,6.623249290397901,2024.0,3.0,24,4,1,83.0,69.0,67.0,74.0,49.0,68.0
J. Bruun Larsen,"LM, LW, ST",73,80,6000000.0,6.778151250383644,2024.0,3.0,22,4,1,85.0,69.0,69.0,72.0,55.0,67.0
J. Kouassi,"LW, LM, ST",73,74,3600000.0,6.556302500767287,2021.0,0.0,26,4,1,88.0,71.0,59.0,74.0,31.0,67.0
Ricardo Lopes,"ST, RW",73,73,3000000.0,6.477121254719663,2022.0,1.0,30,4,1,80.0,77.0,67.0,73.0,38.0,74.0
T. Roberts,"CAM, CM, ST",73,80,6000000.0,6.778151250383644,2024.0,3.0,22,3,1,75.0,69.0,68.0,75.0,38.0,71.0
K. Onisiwo,"ST, RM, LM",73,73,3000000.0,6.477121254719663,2024.0,3.0,29,3,2,76.0,69.0,66.0,74.0,51.0,79.0
V. Pavlidis,"ST, LW",73,80,6000000.0,6.778151250383644,2025.0,4.0,22,4,1,75.0,73.0,57.0,71.0,42.0,80.0
Rodrigo Pinho,ST,73,73,3000000.0,6.477121254719663,2026.0,5.0,30,3,1,65.0,77.0,60.0,73.0,25.0,61.0
Dagoberto Esteiro,ST,73,73,3400000.0,6.531478917042255,2024.0,3.0,25,4,1,64.0,76.0,52.0,67.0,25.0,59.0
Nuno Lisareda,ST,73,73,3600000.0,6.556302500767287,2024.0,3.0,21,3,1,78.0,74.0,60.0,73.0,29.0,60.0
Rodolfo Pittaça,"ST, LM",73,73,3600000.0,6.556302500767287,2024.0,3.0,21,3,1,51.0,75.0,68.0,64.0,43.0,81.0
Y. Kobayashi,"ST, RW",73,73,1900000.0,6.278753600952829,2022.0,1.0,33,4,1,74.0,74.0,67.0,73.0,30.0,63.0
A. Vega,"ST, CF, CAM",73,81,7000000.0,6.845098040014257,2022.0,1.0,23,3,1,78.0,74.0,72.0,77.0,30.0,72.0
I. Cardona,ST,73,77,4400000.0,6.643452676486188,2023.0,2.0,23,3,1,73.0,74.0,67.0,72.0,26.0,63.0
A. Nordin,"RM, LM, ST",73,78,4600000.0,6.662757831681574,2022.0,1.0,23,4,1,80.0,69.0,68.0,75.0,37.0,58.0
P. Cutrone,ST,73,78,4700000.0,6.672097857935717,2022.0,1.0,23,3,1,72.0,71.0,55.0,71.0,29.0,69.0
N. Bustos,"ST, RM, LM",73,82,7000000.0,6.845098040014257,2022.0,1.0,22,2,1,80.0,73.0,66.0,76.0,33.0,68.0
E. Copetti,"ST, RW",73,76,4100000.0,6.6127838567197355,2022.0,1.0,25,4,1,81.0,72.0,62.0,69.0,48.0,86.0
I. Niane,"ST, LW, RW",73,81,7000000.0,6.845098040014257,2024.0,3.0,22,3,1,82.0,74.0,54.0,71.0,20.0,62.0
M. Okugawa,"CAM, ST",73,76,4000000.0,6.6020599913279625,2024.0,3.0,25,4,1,76.0,65.0,68.0,78.0,38.0,42.0
L. Juliš,ST,73,76,4000000.0,6.6020599913279625,2023.0,2.0,26,3,1,82.0,71.0,60.0,69.0,29.0,68.0
M. Nzola,"ST, RW",73,77,4400000.0,6.643452676486188,2024.0,3.0,24,4,1,86.0,70.0,59.0,68.0,29.0,75.0
M. Bayo,ST,73,80,6000000.0,6.778151250383644,2023.0,2.0,23,2,1,72.0,75.0,60.0,73.0,25.0,60.0
C. Führich,"RM, ST",73,79,4800000.0,6.681241237375588,2025.0,4.0,23,4,1,81.0,66.0,68.0,74.0,54.0,61.0
Dani Gómez,ST,73,79,4900000.0,6.690196080028514,2025.0,4.0,22,3,1,78.0,74.0,60.0,73.0,37.0,63.0
Enric Gallego,ST,73,73,1500000.0,6.176091259055681,2023.0,2.0,34,3,1,57.0,76.0,56.0,67.0,25.0,70.0
F. Sakala,"ST, LW",73,78,4700000.0,6.672097857935717,2025.0,4.0,24,2,1,88.0,76.0,57.0,73.0,31.0,68.0
Sancet,"ST, CAM",73,83,7000000.0,6.845098040014257,2024.0,3.0,21,4,1,71.0,71.0,67.0,76.0,51.0,55.0
L. Tawamba,ST,73,73,2600000.0,6.414973347970818,2022.0,1.0,31,3,1,65.0,73.0,54.0,68.0,24.0,81.0
F. Krüger,"ST, LW, LM",73,82,7000000.0,6.845098040014257,2025.0,4.0,22,3,1,86.0,72.0,55.0,72.0,22.0,70.0
K. Furuhashi,"ST, LM",73,76,4000000.0,6.6020599913279625,2025.0,4.0,26,4,1,82.0,74.0,68.0,76.0,41.0,63.0
S. Koita,ST,73,82,7000000.0,6.845098040014257,2024.0,3.0,21,4,1,91.0,74.0,62.0,76.0,35.0,72.0
R. Nteka,"ST, CAM, CM",73,82,7000000.0,6.845098040014257,2026.0,5.0,23,3,1,75.0,72.0,65.0,73.0,58.0,82.0
B. Brobbey,ST,73,85,7500000.0,6.8750612633917,2025.0,4.0,19,4,1,83.0,71.0,54.0,68.0,30.0,81.0
A. Velasco,"LM, LW, ST",73,85,7000000.0,6.845098040014257,2023.0,2.0,18,3,1,79.0,66.0,66.0,80.0,52.0,54.0
Fer Niño,ST,73,83,6500000.0,6.812913356642856,2022.0,1.0,20,3,1,67.0,74.0,59.0,68.0,35.0,69.0
A. Kalimuendo,ST,73,82,6500000.0,6.812913356642856,2022.0,1.0,19,3,1,82.0,72.0,52.0,74.0,29.0,65.0
E. Kara,ST,73,76,4100000.0,6.6127838567197355,2022.0,1.0,25,3,1,75.0,75.0,51.0,61.0,28.0,85.0
Evanilson,ST,73,83,7000000.0,6.845098040014257,2025.0,4.0,21,4,1,72.0,75.0,58.0,69.0,25.0,63.0
Yeremy Pino,"RM, LM, ST",73,84,6500000.0,6.812913356642856,2024.0,3.0,18,4,1,71.0,66.0,70.0,73.0,31.0,46.0
A. Sima,"RM, ST",73,86,7500000.0,6.8750612633917,2022.0,1.0,20,4,1,88.0,74.0,63.0,69.0,41.0,73.0
S. Rahimi,"LM, ST",73,76,4000000.0,6.6020599913279625,2025.0,4.0,25,4,1,85.0,74.0,67.0,71.0,38.0,64.0
J. Briand,ST,72,72,1000000.0,6.0,2022.0,1.0,35,3,2,59.0,71.0,71.0,71.0,46.0,70.0
M. Demir,"ST, CF",72,72,2300000.0,6.361727836017593,2024.0,3.0,29,4,1,72.0,74.0,69.0,71.0,37.0,67.0
D. Cvitanich,"ST, CAM",72,72,800000.0,5.903089986991944,2021.0,0.0,37,3,2,56.0,70.0,66.0,72.0,37.0,67.0
B. Sharp,ST,72,72,1000000.0,6.0,2022.0,1.0,35,3,1,56.0,74.0,62.0,65.0,39.0,67.0
C. Keșerü,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,3,1,71.0,74.0,66.0,70.0,41.0,72.0
S. Sinclair,"LM, RM, ST",72,72,1900000.0,6.278753600952829,2022.0,1.0,32,4,1,81.0,73.0,65.0,75.0,41.0,63.0
S. Long,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,2,2,81.0,69.0,61.0,72.0,36.0,67.0
A. Ramos,ST,72,72,1000000.0,6.0,2021.0,0.0,35,3,1,69.0,72.0,64.0,68.0,42.0,72.0
R. Hennings,ST,72,72,1500000.0,6.176091259055681,2022.0,1.0,33,3,1,58.0,78.0,61.0,66.0,40.0,75.0
O. Kamara,"ST, LW",72,72,2000000.0,6.301029995663981,2021.0,0.0,31,3,1,73.0,72.0,58.0,70.0,33.0,79.0
M. Gavranović,"ST, CAM",72,72,2000000.0,6.301029995663981,2022.0,1.0,31,4,1,62.0,72.0,59.0,71.0,38.0,64.0
A. Modeste,ST,72,72,1500000.0,6.176091259055681,2023.0,2.0,33,4,2,62.0,72.0,63.0,69.0,35.0,77.0
T. Pekhart,ST,72,72,1900000.0,6.278753600952829,2022.0,1.0,32,3,1,50.0,72.0,53.0,59.0,33.0,77.0
M. Coda,ST,72,72,1900000.0,6.278753600952829,2022.0,1.0,32,4,1,63.0,74.0,51.0,69.0,25.0,62.0
F. Macheda,"ST, LW, CF",72,72,2300000.0,6.361727836017593,2023.0,2.0,29,3,2,69.0,73.0,58.0,71.0,30.0,63.0
F. Di Santo,ST,72,72,1900000.0,6.278753600952829,2023.0,2.0,32,3,2,68.0,71.0,66.0,70.0,45.0,76.0
F. Gulbrandsen,"ST, LW",72,72,2400000.0,6.380211241711606,2022.0,1.0,28,3,1,86.0,70.0,61.0,74.0,36.0,76.0
B. Koita,"ST, RW",72,72,2300000.0,6.361727836017593,2024.0,3.0,30,5,1,79.0,69.0,60.0,70.0,23.0,68.0
H. Nielsen,"ST, CAM",72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,4,1,79.0,70.0,67.0,71.0,42.0,75.0
K. Wilczek,ST,72,72,1500000.0,6.176091259055681,2023.0,2.0,33,3,1,60.0,73.0,65.0,68.0,41.0,81.0
F. Montero,"ST, CF, LW",72,72,1500000.0,6.176091259055681,2021.0,0.0,33,4,2,64.0,74.0,70.0,74.0,43.0,63.0
P. Mortensen,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,3,1,52.0,72.0,54.0,66.0,33.0,81.0
M. Caraglio,ST,72,72,1900000.0,6.278753600952829,2022.0,1.0,32,3,1,41.0,74.0,61.0,68.0,27.0,79.0
G. Burgstaller,ST,72,72,1900000.0,6.278753600952829,2023.0,2.0,32,5,1,59.0,72.0,66.0,69.0,39.0,80.0
A. Quintero,"RM, RW, ST",72,72,1500000.0,6.176091259055681,2022.0,1.0,33,3,1,80.0,65.0,64.0,75.0,20.0,61.0
R. Krishna,"ST, CF",72,72,1500000.0,6.176091259055681,2022.0,1.0,33,4,1,90.0,72.0,66.0,73.0,46.0,79.0
C. Austin,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,2,1,50.0,75.0,57.0,66.0,36.0,69.0
K. Babacar,ST,72,72,2400000.0,6.380211241711606,2021.0,0.0,28,3,2,66.0,72.0,55.0,71.0,32.0,69.0
P. Testroet,ST,72,72,2300000.0,6.361727836017593,2025.0,4.0,30,4,1,63.0,74.0,57.0,66.0,38.0,78.0
Caio,"LM, ST",72,72,2300000.0,6.361727836017593,2022.0,1.0,30,4,1,80.0,72.0,65.0,75.0,29.0,66.0
S. Araujo,ST,72,72,2300000.0,6.361727836017593,2024.0,3.0,29,4,1,74.0,75.0,61.0,73.0,33.0,59.0
I. Nestorovski,ST,72,72,2000000.0,6.301029995663981,2022.0,1.0,31,3,1,68.0,74.0,52.0,69.0,35.0,74.0
P. Chavarría,"ST, RM",72,72,1500000.0,6.176091259055681,2023.0,2.0,33,4,1,67.0,72.0,68.0,73.0,36.0,76.0
Sebá,"LM, ST, RM",72,72,2300000.0,6.361727836017593,2022.0,1.0,29,3,1,86.0,71.0,66.0,71.0,49.0,76.0
M. Gregoritsch,"ST, CAM",72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,2,60.0,73.0,72.0,70.0,41.0,71.0
Á. Sepúlveda,"ST, RM, LM",72,72,2300000.0,6.361727836017593,2025.0,4.0,30,3,1,77.0,69.0,67.0,71.0,42.0,73.0
D. Royer,"LM, ST",72,72,1900000.0,6.278753600952829,2021.0,0.0,31,4,1,80.0,73.0,65.0,75.0,47.0,77.0
B. Raman,"ST, RM, LM",72,75,3100000.0,6.491361693834273,2024.0,3.0,26,4,1,85.0,73.0,65.0,75.0,33.0,61.0
A. Musa,"LM, ST",72,72,2400000.0,6.380211241711606,2025.0,4.0,28,3,2,92.0,66.0,63.0,74.0,30.0,55.0
Y. Touzghar,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,3,1,71.0,73.0,61.0,72.0,24.0,69.0
Diego Oliveira,"ST, RW",72,72,2000000.0,6.301029995663981,2022.0,1.0,31,5,1,76.0,72.0,69.0,71.0,38.0,75.0
M. Krmenčík,ST,72,72,2400000.0,6.380211241711606,2023.0,2.0,28,4,1,68.0,72.0,59.0,68.0,27.0,77.0
I. Kiese Thelin,ST,72,72,2300000.0,6.361727836017593,2022.0,1.0,29,3,1,58.0,71.0,61.0,66.0,37.0,83.0
F. Boli,ST,72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,1,76.0,72.0,48.0,70.0,27.0,71.0
P. Hofmann,ST,72,72,2400000.0,6.380211241711606,2022.0,1.0,28,2,1,55.0,73.0,50.0,60.0,34.0,79.0
J. Świerczok,ST,72,72,2400000.0,6.380211241711606,2022.0,1.0,28,3,1,72.0,72.0,50.0,72.0,26.0,71.0
Cristiano,"RM, LM, ST",72,72,1100000.0,6.041392685158225,2022.0,1.0,34,4,1,77.0,71.0,69.0,69.0,51.0,80.0
Aitor García,"LM, ST, RM",72,72,2500000.0,6.3979400086720375,2023.0,2.0,27,4,1,84.0,71.0,67.0,72.0,37.0,63.0
M. Frey,ST,72,72,2600000.0,6.414973347970818,2024.0,3.0,26,4,1,62.0,74.0,61.0,66.0,36.0,88.0
S. Schrijvers,"CF, CAM, ST",72,76,3400000.0,6.531478917042255,2024.0,3.0,24,4,1,68.0,72.0,72.0,73.0,52.0,63.0
G. Lapadula,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,3,2,72.0,71.0,57.0,74.0,24.0,63.0
Luiz Phellype,ST,72,73,2700000.0,6.431363764158987,2022.0,1.0,27,3,1,52.0,75.0,60.0,68.0,30.0,79.0
Álex Gallar,"RM, ST, LM",72,72,2300000.0,6.361727836017593,2022.0,1.0,29,4,1,74.0,69.0,69.0,72.0,42.0,64.0
A. Voglsammer,"LM, ST",72,72,2300000.0,6.361727836017593,2025.0,4.0,29,3,1,79.0,74.0,65.0,69.0,38.0,79.0
R. Berić,ST,72,72,2300000.0,6.361727836017593,2021.0,0.0,30,3,2,57.0,72.0,64.0,66.0,38.0,74.0
A. Jahović,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,3,1,65.0,73.0,50.0,65.0,33.0,76.0
F. Aristeguieta,ST,72,72,2300000.0,6.361727836017593,2026.0,5.0,29,3,1,51.0,73.0,55.0,67.0,42.0,83.0
D. Rolán,"ST, LM, CAM",72,72,2400000.0,6.380211241711606,2026.0,5.0,28,4,2,78.0,69.0,70.0,73.0,43.0,69.0
A. Ruiz,"CAM, CF, ST",72,72,2500000.0,6.3979400086720375,2021.0,0.0,27,2,2,54.0,72.0,74.0,75.0,34.0,68.0
M. Uhre,ST,72,74,2900000.0,6.4623979978989565,2022.0,1.0,26,4,1,89.0,69.0,50.0,68.0,33.0,77.0
K. Junker,ST,72,73,2700000.0,6.431363764158987,2022.0,1.0,27,3,1,85.0,71.0,56.0,68.0,33.0,70.0
E. Zelaya,ST,72,72,1500000.0,6.176091259055681,2023.0,2.0,33,3,1,72.0,75.0,58.0,63.0,33.0,76.0
C. Strandberg,ST,72,75,3100000.0,6.491361693834273,2022.0,1.0,25,3,1,82.0,73.0,53.0,63.0,25.0,79.0
R. Dugimont,"LM, CAM, ST",72,72,950000.0,5.977723605288848,2023.0,2.0,35,3,1,59.0,75.0,70.0,71.0,40.0,82.0
Erik,"ST, RM, LM",72,73,2800000.0,6.447158031342219,2023.0,2.0,26,4,1,83.0,72.0,65.0,74.0,23.0,56.0
D. Hotto,"LW, ST, RW",72,72,2300000.0,6.361727836017593,2024.0,3.0,30,4,1,81.0,73.0,73.0,71.0,29.0,61.0
Sandro,ST,72,75,3100000.0,6.491361693834273,2022.0,1.0,25,4,2,64.0,75.0,65.0,76.0,30.0,62.0
C. Arango,"ST, CAM",72,73,2800000.0,6.447158031342219,2026.0,5.0,26,3,1,74.0,72.0,64.0,72.0,33.0,67.0
M. Aramu,"CAM, ST, RW",72,73,2800000.0,6.447158031342219,2022.0,1.0,26,3,1,74.0,63.0,70.0,74.0,52.0,60.0
G. Tutino,"ST, LW",72,77,3600000.0,6.556302500767287,2024.0,3.0,24,3,1,77.0,72.0,71.0,75.0,35.0,64.0
A. Čolak,ST,72,72,2500000.0,6.3979400086720375,2021.0,0.0,27,4,1,71.0,73.0,55.0,67.0,34.0,76.0
J. Narváez,"ST, LM",72,75,3100000.0,6.491361693834273,2023.0,2.0,26,3,1,78.0,73.0,66.0,74.0,55.0,67.0
N. Leiva,"LM, ST",72,78,3700000.0,6.568201724066995,2022.0,1.0,24,3,1,83.0,70.0,68.0,73.0,27.0,60.0
E. Crivelli,"ST, LW",72,74,2900000.0,6.4623979978989565,2022.0,1.0,26,3,1,63.0,70.0,62.0,67.0,36.0,85.0
Ö. Şahiner,"RM, RB, ST",72,72,2300000.0,6.361727836017593,2023.0,2.0,29,3,1,81.0,67.0,68.0,73.0,63.0,71.0
C. Ortiz,"CF, ST, LM",72,72,2400000.0,6.380211241711606,2026.0,5.0,28,3,1,76.0,69.0,67.0,71.0,42.0,57.0
F. Tănase,"CF, CAM, ST",72,72,2600000.0,6.414973347970818,2022.0,1.0,26,3,1,75.0,72.0,71.0,70.0,50.0,62.0
S. Mugoša,ST,72,72,2300000.0,6.361727836017593,2023.0,2.0,29,3,1,64.0,74.0,51.0,68.0,24.0,76.0
A. Buksa,ST,72,76,3400000.0,6.531478917042255,2022.0,1.0,24,4,1,68.0,71.0,56.0,68.0,31.0,77.0
L. Mancuso,"ST, LW",72,72,2300000.0,6.361727836017593,2023.0,2.0,29,4,1,76.0,72.0,62.0,74.0,34.0,68.0
M. Sylla,"ST, RM, LM",72,73,2700000.0,6.431363764158987,2024.0,3.0,27,4,1,76.0,72.0,61.0,71.0,37.0,72.0
J. Tagueu,"ST, LW",72,73,2700000.0,6.431363764158987,2022.0,1.0,27,3,1,70.0,70.0,58.0,70.0,29.0,70.0
Serginho,"RM, ST, CM",72,72,2500000.0,6.3979400086720375,2021.0,0.0,27,4,1,68.0,75.0,72.0,71.0,43.0,75.0
K. Grant,"ST, LW, LM",72,78,3700000.0,6.568201724066995,2026.0,5.0,23,3,1,86.0,73.0,62.0,72.0,33.0,65.0
Á. González,"RW, ST, RM",72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,1,84.0,69.0,64.0,73.0,48.0,65.0
Sabin Merino,"ST, LM, RM",72,72,2300000.0,6.361727836017593,2022.0,1.0,29,3,1,72.0,71.0,65.0,69.0,51.0,65.0
H. Veerman,ST,72,72,2300000.0,6.361727836017593,2023.0,2.0,30,4,1,73.0,71.0,47.0,58.0,30.0,81.0
J. Siebatcheu,ST,72,76,3300000.0,6.518513939877887,2024.0,3.0,25,3,1,66.0,71.0,59.0,70.0,29.0,74.0
C. Ikonomidis,"RM, ST",72,73,2800000.0,6.447158031342219,2024.0,3.0,26,4,1,80.0,68.0,66.0,74.0,51.0,67.0
Y. Mutō,ST,72,72,2400000.0,6.380211241711606,2023.0,2.0,28,4,1,78.0,71.0,66.0,76.0,41.0,58.0
S. Iljutcenko,ST,72,72,2300000.0,6.361727836017593,2022.0,1.0,30,4,1,74.0,72.0,51.0,66.0,36.0,80.0
Sergi Guardiola,ST,72,72,2300000.0,6.361727836017593,2022.0,1.0,30,2,1,73.0,72.0,60.0,71.0,30.0,78.0
B. Tetteh,ST,72,77,3600000.0,6.556302500767287,2025.0,4.0,23,2,1,78.0,67.0,53.0,70.0,24.0,78.0
Gustavo Lobateiro,"CAM, ST, CF",72,72,2800000.0,6.447158031342219,2024.0,3.0,21,5,1,77.0,65.0,68.0,72.0,33.0,60.0
Evandro Rochedo,ST,72,72,2600000.0,6.414973347970818,2024.0,3.0,25,4,1,55.0,75.0,60.0,70.0,36.0,64.0
Santi da Bruma,"ST, RM",72,72,2600000.0,6.414973347970818,2024.0,3.0,25,5,1,86.0,70.0,73.0,76.0,37.0,58.0
Pietrson Mendes,"CAM, ST",72,72,2600000.0,6.414973347970818,2024.0,3.0,25,3,1,80.0,69.0,73.0,74.0,43.0,50.0
Calegarcinho,"ST, CAM",72,72,800000.0,5.903089986991944,2024.0,3.0,37,3,1,66.0,70.0,62.0,65.0,25.0,70.0
Hélton Celanova,ST,72,72,2300000.0,6.361727836017593,2024.0,3.0,29,3,1,53.0,76.0,60.0,67.0,22.0,73.0
Gérson Noalha,"ST, CAM, LM",72,72,2300000.0,6.361727836017593,2024.0,3.0,29,3,1,76.0,76.0,58.0,75.0,31.0,68.0
Jadson Vidigal,ST,72,72,2300000.0,6.361727836017593,2024.0,3.0,29,3,1,77.0,76.0,57.0,64.0,23.0,58.0
Leandro Vivenço,ST,72,72,2800000.0,6.447158031342219,2024.0,3.0,21,3,1,75.0,76.0,59.0,75.0,30.0,62.0
C. Ninga,"LM, ST",72,72,2400000.0,6.380211241711606,2023.0,2.0,28,3,1,89.0,71.0,63.0,69.0,27.0,77.0
C. Bassogog,"ST, RM, RW",72,73,2800000.0,6.447158031342219,2021.0,0.0,25,2,1,86.0,69.0,59.0,74.0,38.0,73.0
E. Mor,"RM, ST, RW",72,78,3700000.0,6.568201724066995,2022.0,1.0,23,3,1,85.0,67.0,62.0,80.0,31.0,47.0
M. Koné,ST,72,76,3400000.0,6.531478917042255,2023.0,2.0,24,3,1,91.0,68.0,57.0,74.0,32.0,65.0
S. Banza,ST,72,75,3200000.0,6.505149978319906,2022.0,1.0,24,2,1,69.0,71.0,49.0,71.0,30.0,71.0
Y. Niakaté,ST,72,72,2400000.0,6.380211241711606,2024.0,3.0,28,4,1,92.0,74.0,58.0,70.0,26.0,69.0
J. Serra,ST,72,77,3600000.0,6.556302500767287,2025.0,4.0,23,4,1,61.0,72.0,52.0,61.0,37.0,77.0
C. Tarragona,ST,72,72,2300000.0,6.361727836017593,2021.0,0.0,30,4,1,83.0,71.0,53.0,70.0,43.0,80.0
