short_name,player_positions,overall,potential,value_eur,value_log10,club_contract_valid_until,years_left,age,weak_foot,international_reputation,pace,shooting,passing,dribbling,defending,physic,attacking_finishing,attacking_heading_accuracy,attacking_volleys,power_shot_power,power_long_shots,skill_ball_control,mentality_positioning
Nuno Lisareda,ST,73,73,3600000.0,6.556302500767287,2024.0,3.0,21,3,1,78.0,74.0,60.0,73.0,29.0,60.0,75,68,75,77,68,72,76
Rodolfo Pittaça,"ST, LM",73,73,3600000.0,6.556302500767287,2024.0,3.0,21,3,1,51.0,75.0,68.0,64.0,43.0,81.0,75,81,70,80,69,72,77
Y. Kobayashi,"ST, RW",73,73,1900000.0,6.278753600952829,2022.0,1.0,33,4,1,74.0,74.0,67.0,73.0,30.0,63.0,75,70,72,71,73,73,79
A. Vega,"ST, CF, CAM",73,81,7000000.0,6.845098040014257,2022.0,1.0,23,3,1,78.0,74.0,72.0,77.0,30.0,72.0,76,59,65,75,75,76,71
I. Cardona,ST,73,77,4400000.0,6.643452676486188,2023.0,2.0,23,3,1,73.0,74.0,67.0,72.0,26.0,63.0,75,63,77,78,68,74,78
A. Nordin,"RM, LM, ST",73,78,4600000.0,6.662757831681574,2022.0,1.0,23,4,1,80.0,69.0,68.0,75.0,37.0,58.0,70,67,52,74,69,76,73
P. Cutrone,ST,73,78,4700000.0,6.672097857935717,2022.0,1.0,23,3,1,72.0,71.0,55.0,71.0,29.0,69.0,76,73,70,72,60,73,78
N. Bustos,"ST, RM, LM",73,82,7000000.0,6.845098040014257,2022.0,1.0,22,2,1,80.0,73.0,66.0,76.0,33.0,68.0,73,63,63,74,72,73,77
E. Copetti,"ST, RW",73,76,4100000.0,6.6127838567197355,2022.0,1.0,25,4,1,81.0,72.0,62.0,69.0,48.0,86.0,74,73,55,78,68,68,70
I. Niane,"ST, LW, RW",73,81,7000000.0,6.845098040014257,2024.0,3.0,22,3,1,82.0,74.0,54.0,71.0,20.0,62.0,75,75,55,79,70,70,74
M. Okugawa,"CAM, ST",73,76,4000000.0,6.6020599913279625,2024.0,3.0,25,4,1,76.0,65.0,68.0,78.0,38.0,42.0,69,59,70,53,68,77,68
L. Juliš,ST,73,76,4000000.0,6.6020599913279625,2023.0,2.0,26,3,1,82.0,71.0,60.0,69.0,29.0,68.0,77,70,65,71,62,70,77
M. Nzola,"ST, RW",73,77,4400000.0,6.643452676486188,2024.0,3.0,24,4,1,86.0,70.0,59.0,68.0,29.0,75.0,74,70,60,70,62,71,74
M. Bayo,ST,73,80,6000000.0,6.778151250383644,2023.0,2.0,23,2,1,72.0,75.0,60.0,73.0,25.0,60.0,77,63,71,76,69,75,75
C. Führich,"RM, ST",73,79,4800000.0,6.681241237375588,2025.0,4.0,23,4,1,81.0,66.0,68.0,74.0,54.0,61.0,67,54,58,68,63,72,68
Dani Gómez,ST,73,79,4900000.0,6.690196080028514,2025.0,4.0,22,3,1,78.0,74.0,60.0,73.0,37.0,63.0,76,62,62,79,68,74,75
Enric Gallego,ST,73,73,1500000.0,6.176091259055681,2023.0,2.0,34,3,1,57.0,76.0,56.0,67.0,25.0,70.0,79,79,62,77,70,73,77
F. Sakala,"ST, LW",73,78,4700000.0,6.672097857935717,2025.0,4.0,24,2,1,88.0,76.0,57.0,73.0,31.0,68.0,78,68,60,82,73,72,71
Sancet,"ST, CAM",73,83,7000000.0,6.845098040014257,2024.0,3.0,21,4,1,71.0,71.0,67.0,76.0,51.0,55.0,72,71,69,70,72,80,77
L. Tawamba,ST,73,73,2600000.0,6.414973347970818,2022.0,1.0,31,3,1,65.0,73.0,54.0,68.0,24.0,81.0,77,75,70,73,66,73,74
F. Krüger,"ST, LW, LM",73,82,7000000.0,6.845098040014257,2025.0,4.0,22,3,1,86.0,72.0,55.0,72.0,22.0,70.0,77,61,64,73,61,74,76
K. Furuhashi,"ST, LM",73,76,4000000.0,6.6020599913279625,2025.0,4.0,26,4,1,82.0,74.0,68.0,76.0,41.0,63.0,75,64,73,72,74,73,77
S. Koita,ST,73,82,7000000.0,6.845098040014257,2024.0,3.0,21,4,1,91.0,74.0,62.0,76.0,35.0,72.0,75,59,73,75,74,73,73
R. Nteka,"ST, CAM, CM",73,82,7000000.0,6.845098040014257,2026.0,5.0,23,3,1,75.0,72.0,65.0,73.0,58.0,82.0,71,71,64,77,70,74,72
B. Brobbey,ST,73,85,7500000.0,6.8750612633917,2025.0,4.0,19,4,1,83.0,71.0,54.0,68.0,30.0,81.0,75,69,58,72,63,72,74
A. Velasco,"LM, LW, ST",73,85,7000000.0,6.845098040014257,2023.0,2.0,18,3,1,79.0,66.0,66.0,80.0,52.0,54.0,64,57,59,70,71,77,71
Fer Niño,ST,73,83,6500000.0,6.812913356642856,2022.0,1.0,20,3,1,67.0,74.0,59.0,68.0,35.0,69.0,78,74,68,74,70,70,76
A. Kalimuendo,ST,73,82,6500000.0,6.812913356642856,2022.0,1.0,19,3,1,82.0,72.0,52.0,74.0,29.0,65.0,74,70,71,72,71,73,74
E. Kara,ST,73,76,4100000.0,6.6127838567197355,2022.0,1.0,25,3,1,75.0,75.0,51.0,61.0,28.0,85.0,75,76,69,80,73,66,71
Evanilson,ST,73,83,7000000.0,6.845098040014257,2025.0,4.0,21,4,1,72.0,75.0,58.0,69.0,25.0,63.0,78,75,69,75,71,71,79
Yeremy Pino,"RM, LM, ST",73,84,6500000.0,6.812913356642856,2024.0,3.0,18,4,1,71.0,66.0,70.0,73.0,31.0,46.0,70,46,62,63,64,73,70
A. Sima,"RM, ST",73,86,7500000.0,6.8750612633917,2022.0,1.0,20,4,1,88.0,74.0,63.0,69.0,41.0,73.0,76,76,74,74,73,70,77
S. Rahimi,"LM, ST",73,76,4000000.0,6.6020599913279625,2025.0,4.0,25,4,1,85.0,74.0,67.0,71.0,38.0,64.0,76,61,73,70,74,67,73
J. Briand,ST,72,72,1000000.0,6.0,2022.0,1.0,35,3,2,59.0,71.0,71.0,71.0,46.0,70.0,72,73,71,72,68,71,75
M. Demir,"ST, CF",72,72,2300000.0,6.361727836017593,2024.0,3.0,29,4,1,72.0,74.0,69.0,71.0,37.0,67.0,71,71,75,79,74,73,73
D. Cvitanich,"ST, CAM",72,72,800000.0,5.903089986991944,2021.0,0.0,37,3,2,56.0,70.0,66.0,72.0,37.0,67.0,71,72,65,70,67,77,80
B. Sharp,ST,72,72,1000000.0,6.0,2022.0,1.0,35,3,1,56.0,74.0,62.0,65.0,39.0,67.0,79,76,74,72,64,71,80
C. Keșerü,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,3,1,71.0,74.0,66.0,70.0,41.0,72.0,74,67,70,79,71,70,77
S. Sinclair,"LM, RM, ST",72,72,1900000.0,6.278753600952829,2022.0,1.0,32,4,1,81.0,73.0,65.0,75.0,41.0,63.0,74,60,68,75,68,74,76
S. Long,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,2,2,81.0,69.0,61.0,72.0,36.0,67.0,68,76,67,73,64,71,76
A. Ramos,ST,72,72,1000000.0,6.0,2021.0,0.0,35,3,1,69.0,72.0,64.0,68.0,42.0,72.0,70,74,70,80,68,71,78
R. Hennings,ST,72,72,1500000.0,6.176091259055681,2022.0,1.0,33,3,1,58.0,78.0,61.0,66.0,40.0,75.0,79,72,71,82,76,68,74
O. Kamara,"ST, LW",72,72,2000000.0,6.301029995663981,2021.0,0.0,31,3,1,73.0,72.0,58.0,70.0,33.0,79.0,72,69,77,74,68,70,74
M. Gavranović,"ST, CAM",72,72,2000000.0,6.301029995663981,2022.0,1.0,31,4,1,62.0,72.0,59.0,71.0,38.0,64.0,75,78,73,78,58,74,75
A. Modeste,ST,72,72,1500000.0,6.176091259055681,2023.0,2.0,33,4,2,62.0,72.0,63.0,69.0,35.0,77.0,72,78,75,73,70,70,73
T. Pekhart,ST,72,72,1900000.0,6.278753600952829,2022.0,1.0,32,3,1,50.0,72.0,53.0,59.0,33.0,77.0,73,78,70,75,65,68,83
M. Coda,ST,72,72,1900000.0,6.278753600952829,2022.0,1.0,32,4,1,63.0,74.0,51.0,69.0,25.0,62.0,76,75,63,77,72,73,75
F. Macheda,"ST, LW, CF",72,72,2300000.0,6.361727836017593,2023.0,2.0,29,3,2,69.0,73.0,58.0,71.0,30.0,63.0,75,70,72,73,69,74,75
F. Di Santo,ST,72,72,1900000.0,6.278753600952829,2023.0,2.0,32,3,2,68.0,71.0,66.0,70.0,45.0,76.0,72,77,73,74,66,73,72
F. Gulbrandsen,"ST, LW",72,72,2400000.0,6.380211241711606,2022.0,1.0,28,3,1,86.0,70.0,61.0,74.0,36.0,76.0,70,61,67,77,67,73,74
B. Koita,"ST, RW",72,72,2300000.0,6.361727836017593,2024.0,3.0,30,5,1,79.0,69.0,60.0,70.0,23.0,68.0,71,71,60,79,60,73,70
H. Nielsen,"ST, CAM",72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,4,1,79.0,70.0,67.0,71.0,42.0,75.0,71,66,71,75,64,73,73
K. Wilczek,ST,72,72,1500000.0,6.176091259055681,2023.0,2.0,33,3,1,60.0,73.0,65.0,68.0,41.0,81.0,74,73,69,79,66,71,75
F. Montero,"ST, CF, LW",72,72,1500000.0,6.176091259055681,2021.0,0.0,33,4,2,64.0,74.0,70.0,74.0,43.0,63.0,71,74,78,77,74,74,75
P. Mortensen,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,3,1,52.0,72.0,54.0,66.0,33.0,81.0,76,74,65,79,57,72,78
M. Caraglio,ST,72,72,1900000.0,6.278753600952829,2022.0,1.0,32,3,1,41.0,74.0,61.0,68.0,27.0,79.0,76,86,70,76,68,71,75
G. Burgstaller,ST,72,72,1900000.0,6.278753600952829,2023.0,2.0,32,5,1,59.0,72.0,66.0,69.0,39.0,80.0,70,74,72,79,70,69,77
A. Quintero,"RM, RW, ST",72,72,1500000.0,6.176091259055681,2022.0,1.0,33,3,1,80.0,65.0,64.0,75.0,20.0,61.0,68,42,54,70,62,74,67
R. Krishna,"ST, CF",72,72,1500000.0,6.176091259055681,2022.0,1.0,33,4,1,90.0,72.0,66.0,73.0,46.0,79.0,74,60,66,70,68,70,73
C. Austin,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,2,1,50.0,75.0,57.0,66.0,36.0,69.0,74,78,72,80,69,73,77
K. Babacar,ST,72,72,2400000.0,6.380211241711606,2021.0,0.0,28,3,2,66.0,72.0,55.0,71.0,32.0,69.0,72,74,74,79,62,73,75
P. Testroet,ST,72,72,2300000.0,6.361727836017593,2025.0,4.0,30,4,1,63.0,74.0,57.0,66.0,38.0,78.0,77,65,68,78,65,69,77
Caio,"LM, ST",72,72,2300000.0,6.361727836017593,2022.0,1.0,30,4,1,80.0,72.0,65.0,75.0,29.0,66.0,72,71,74,72,70,74,73
S. Araujo,ST,72,72,2300000.0,6.361727836017593,2024.0,3.0,29,4,1,74.0,75.0,61.0,73.0,33.0,59.0,75,60,73,78,75,77,70
I. Nestorovski,ST,72,72,2000000.0,6.301029995663981,2022.0,1.0,31,3,1,68.0,74.0,52.0,69.0,35.0,74.0,79,70,66,68,69,70,78
P. Chavarría,"ST, RM",72,72,1500000.0,6.176091259055681,2023.0,2.0,33,4,1,67.0,72.0,68.0,73.0,36.0,76.0,75,70,63,73,67,74,73
Sebá,"LM, ST, RM",72,72,2300000.0,6.361727836017593,2022.0,1.0,29,3,1,86.0,71.0,66.0,71.0,49.0,76.0,66,57,70,83,73,72,70
M. Gregoritsch,"ST, CAM",72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,2,60.0,73.0,72.0,70.0,41.0,71.0,71,73,75,79,73,73,72
Á. Sepúlveda,"ST, RM, LM",72,72,2300000.0,6.361727836017593,2025.0,4.0,30,3,1,77.0,69.0,67.0,71.0,42.0,73.0,69,73,65,71,65,71,74
D. Royer,"LM, ST",72,72,1900000.0,6.278753600952829,2021.0,0.0,31,4,1,80.0,73.0,65.0,75.0,47.0,77.0,71,60,64,80,73,74,75
B. Raman,"ST, RM, LM",72,75,3100000.0,6.491361693834273,2024.0,3.0,26,4,1,85.0,73.0,65.0,75.0,33.0,61.0,72,64,73,76,72,72,72
A. Musa,"LM, ST",72,72,2400000.0,6.380211241711606,2025.0,4.0,28,3,2,92.0,66.0,63.0,74.0,30.0,55.0,65,60,65,69,66,69,68
Y. Touzghar,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,3,1,71.0,73.0,61.0,72.0,24.0,69.0,76,73,71,71,67,72,73
Diego Oliveira,"ST, RW",72,72,2000000.0,6.301029995663981,2022.0,1.0,31,5,1,76.0,72.0,69.0,71.0,38.0,75.0,72,66,72,74,67,74,74
M. Krmenčík,ST,72,72,2400000.0,6.380211241711606,2023.0,2.0,28,4,1,68.0,72.0,59.0,68.0,27.0,77.0,75,76,67,72,65,72,73
I. Kiese Thelin,ST,72,72,2300000.0,6.361727836017593,2022.0,1.0,29,3,1,58.0,71.0,61.0,66.0,37.0,83.0,74,77,66,71,63,68,76
F. Boli,ST,72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,1,76.0,72.0,48.0,70.0,27.0,71.0,80,70,52,72,59,69,74
P. Hofmann,ST,72,72,2400000.0,6.380211241711606,2022.0,1.0,28,2,1,55.0,73.0,50.0,60.0,34.0,79.0,75,79,64,83,63,68,73
J. Świerczok,ST,72,72,2400000.0,6.380211241711606,2022.0,1.0,28,3,1,72.0,72.0,50.0,72.0,26.0,71.0,74,68,66,70,69,73,76
Cristiano,"RM, LM, ST",72,72,1100000.0,6.041392685158225,2022.0,1.0,34,4,1,77.0,71.0,69.0,69.0,51.0,80.0,70,66,68,75,73,71,73
Aitor García,"LM, ST, RM",72,72,2500000.0,6.3979400086720375,2023.0,2.0,27,4,1,84.0,71.0,67.0,72.0,37.0,63.0,68,43,64,78,74,71,68
M. Frey,ST,72,72,2600000.0,6.414973347970818,2024.0,3.0,26,4,1,62.0,74.0,61.0,66.0,36.0,88.0,74,71,62,76,72,72,76
S. Schrijvers,"CF, CAM, ST",72,76,3400000.0,6.531478917042255,2024.0,3.0,24,4,1,68.0,72.0,72.0,73.0,52.0,63.0,73,60,78,73,69,74,75
G. Lapadula,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,3,2,72.0,71.0,57.0,74.0,24.0,63.0,74,72,75,70,61,74,76
Luiz Phellype,ST,72,73,2700000.0,6.431363764158987,2022.0,1.0,27,3,1,52.0,75.0,60.0,68.0,30.0,79.0,74,79,73,81,72,71,74
Álex Gallar,"RM, ST, LM",72,72,2300000.0,6.361727836017593,2022.0,1.0,29,4,1,74.0,69.0,69.0,72.0,42.0,64.0,70,55,58,67,68,71,68
A. Voglsammer,"LM, ST",72,72,2300000.0,6.361727836017593,2025.0,4.0,29,3,1,79.0,74.0,65.0,69.0,38.0,79.0,73,71,65,85,71,71,72
R. Berić,ST,72,72,2300000.0,6.361727836017593,2021.0,0.0,30,3,2,57.0,72.0,64.0,66.0,38.0,74.0,74,73,69,73,67,70,77
A. Jahović,ST,72,72,1100000.0,6.041392685158225,2022.0,1.0,34,3,1,65.0,73.0,50.0,65.0,33.0,76.0,75,76,67,77,65,67,75
F. Aristeguieta,ST,72,72,2300000.0,6.361727836017593,2026.0,5.0,29,3,1,51.0,73.0,55.0,67.0,42.0,83.0,77,80,69,69,69,74,76
D. Rolán,"ST, LM, CAM",72,72,2400000.0,6.380211241711606,2026.0,5.0,28,4,2,78.0,69.0,70.0,73.0,43.0,69.0,69,68,68,72,65,72,75
A. Ruiz,"CAM, CF, ST",72,72,2500000.0,6.3979400086720375,2021.0,0.0,27,2,2,54.0,72.0,74.0,75.0,34.0,68.0,69,61,69,80,75,76,68
M. Uhre,ST,72,74,2900000.0,6.4623979978989565,2022.0,1.0,26,4,1,89.0,69.0,50.0,68.0,33.0,77.0,73,65,54,72,60,68,77
K. Junker,ST,72,73,2700000.0,6.431363764158987,2022.0,1.0,27,3,1,85.0,71.0,56.0,68.0,33.0,70.0,76,64,67,70,63,70,76
E. Zelaya,ST,72,72,1500000.0,6.176091259055681,2023.0,2.0,33,3,1,72.0,75.0,58.0,63.0,33.0,76.0,77,83,69,75,67,62,75
C. Strandberg,ST,72,75,3100000.0,6.491361693834273,2022.0,1.0,25,3,1,82.0,73.0,53.0,63.0,25.0,79.0,76,62,68,79,67,67,71
R. Dugimont,"LM, CAM, ST",72,72,950000.0,5.977723605288848,2023.0,2.0,35,3,1,59.0,75.0,70.0,71.0,40.0,82.0,77,74,69,75,74,71,77
Erik,"ST, RM, LM",72,73,2800000.0,6.447158031342219,2023.0,2.0,26,4,1,83.0,72.0,65.0,74.0,23.0,56.0,72,64,71,73,70,72,73
D. Hotto,"LW, ST, RW",72,72,2300000.0,6.361727836017593,2024.0,3.0,30,4,1,81.0,73.0,73.0,71.0,29.0,61.0,74,56,66,73,73,67,74
Sandro,ST,72,75,3100000.0,6.491361693834273,2022.0,1.0,25,4,2,64.0,75.0,65.0,76.0,30.0,62.0,70,62,74,84,76,78,77
C. Arango,"ST, CAM",72,73,2800000.0,6.447158031342219,2026.0,5.0,26,3,1,74.0,72.0,64.0,72.0,33.0,67.0,77,70,59,70,69,73,68
M. Aramu,"CAM, ST, RW",72,73,2800000.0,6.447158031342219,2022.0,1.0,26,3,1,74.0,63.0,70.0,74.0,52.0,60.0,57,53,65,70,68,75,74
G. Tutino,"ST, LW",72,77,3600000.0,6.556302500767287,2024.0,3.0,24,3,1,77.0,72.0,71.0,75.0,35.0,64.0,70,65,72,75,71,75,72
A. Čolak,ST,72,72,2500000.0,6.3979400086720375,2021.0,0.0,27,4,1,71.0,73.0,55.0,67.0,34.0,76.0,77,72,70,69,71,69,76
J. Narváez,"ST, LM",72,75,3100000.0,6.491361693834273,2023.0,2.0,26,3,1,78.0,73.0,66.0,74.0,55.0,67.0,72,67,61,76,76,74,68
N. Leiva,"LM, ST",72,78,3700000.0,6.568201724066995,2022.0,1.0,24,3,1,83.0,70.0,68.0,73.0,27.0,60.0,70,44,66,73,71,70,65
E. Crivelli,"ST, LW",72,74,2900000.0,6.4623979978989565,2022.0,1.0,26,3,1,63.0,70.0,62.0,67.0,36.0,85.0,69,78,69,78,64,71,75
Ö. Şahiner,"RM, RB, ST",72,72,2300000.0,6.361727836017593,2023.0,2.0,29,3,1,81.0,67.0,68.0,73.0,63.0,71.0,62,52,66,75,73,72,69
C. Ortiz,"CF, ST, LM",72,72,2400000.0,6.380211241711606,2026.0,5.0,28,3,1,76.0,69.0,67.0,71.0,42.0,57.0,73,43,42,65,70,74,75
F. Tănase,"CF, CAM, ST",72,72,2600000.0,6.414973347970818,2022.0,1.0,26,3,1,75.0,72.0,71.0,70.0,50.0,62.0,73,64,67,72,68,71,71
S. Mugoša,ST,72,72,2300000.0,6.361727836017593,2023.0,2.0,29,3,1,64.0,74.0,51.0,68.0,24.0,76.0,78,75,70,71,69,74,76
A. Buksa,ST,72,76,3400000.0,6.531478917042255,2022.0,1.0,24,4,1,68.0,71.0,56.0,68.0,31.0,77.0,75,76,65,74,61,71,75
L. Mancuso,"ST, LW",72,72,2300000.0,6.361727836017593,2023.0,2.0,29,4,1,76.0,72.0,62.0,74.0,34.0,68.0,75,64,70,71,64,73,76
M. Sylla,"ST, RM, LM",72,73,2700000.0,6.431363764158987,2024.0,3.0,27,4,1,76.0,72.0,61.0,71.0,37.0,72.0,74,71,65,73,70,70,73
J. Tagueu,"ST, LW",72,73,2700000.0,6.431363764158987,2022.0,1.0,27,3,1,70.0,70.0,58.0,70.0,29.0,70.0,74,80,67,74,59,72,71
Serginho,"RM, ST, CM",72,72,2500000.0,6.3979400086720375,2021.0,0.0,27,4,1,68.0,75.0,72.0,71.0,43.0,75.0,76,65,66,76,75,73,72
K. Grant,"ST, LW, LM",72,78,3700000.0,6.568201724066995,2026.0,5.0,23,3,1,86.0,73.0,62.0,72.0,33.0,65.0,75,62,65,73,72,72,71
Á. González,"RW, ST, RM",72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,1,84.0,69.0,64.0,73.0,48.0,65.0,71,46,44,75,66,70,72
Sabin Merino,"ST, LM, RM",72,72,2300000.0,6.361727836017593,2022.0,1.0,29,3,1,72.0,71.0,65.0,69.0,51.0,65.0,74,81,72,68,67,71,74
H. Veerman,ST,72,72,2300000.0,6.361727836017593,2023.0,2.0,30,4,1,73.0,71.0,47.0,58.0,30.0,81.0,77,77,55,76,60,65,74
J. Siebatcheu,ST,72,76,3300000.0,6.518513939877887,2024.0,3.0,25,3,1,66.0,71.0,59.0,70.0,29.0,74.0,76,74,67,72,61,72,74
C. Ikonomidis,"RM, ST",72,73,2800000.0,6.447158031342219,2024.0,3.0,26,4,1,80.0,68.0,66.0,74.0,51.0,67.0,70,58,64,67,66,74,67
Y. Mutō,ST,72,72,2400000.0,6.380211241711606,2023.0,2.0,28,4,1,78.0,71.0,66.0,76.0,41.0,58.0,73,71,73,72,65,74,74
S. Iljutcenko,ST,72,72,2300000.0,6.361727836017593,2022.0,1.0,30,4,1,74.0,72.0,51.0,66.0,36.0,80.0,78,70,66,75,62,70,73
Sergi Guardiola,ST,72,72,2300000.0,6.361727836017593,2022.0,1.0,30,2,1,73.0,72.0,60.0,71.0,30.0,78.0,73,68,69,74,68,76,79
B. Tetteh,ST,72,77,3600000.0,6.556302500767287,2025.0,4.0,23,2,1,78.0,67.0,53.0,70.0,24.0,78.0,70,74,60,66,61,72,75
Gustavo Lobateiro,"CAM, ST, CF",72,72,2800000.0,6.447158031342219,2024.0,3.0,21,5,1,77.0,65.0,68.0,72.0,33.0,60.0,67,60,55,63,65,68,77
Evandro Rochedo,ST,72,72,2600000.0,6.414973347970818,2024.0,3.0,25,4,1,55.0,75.0,60.0,70.0,36.0,64.0,75,64,73,79,74,74,75
Santi da Bruma,"ST, RM",72,72,2600000.0,6.414973347970818,2024.0,3.0,25,5,1,86.0,70.0,73.0,76.0,37.0,58.0,73,67,77,61,69,75,70
Pietrson Mendes,"CAM, ST",72,72,2600000.0,6.414973347970818,2024.0,3.0,25,3,1,80.0,69.0,73.0,74.0,43.0,50.0,66,56,72,74,68,75,68
Calegarcinho,"ST, CAM",72,72,800000.0,5.903089986991944,2024.0,3.0,37,3,1,66.0,70.0,62.0,65.0,25.0,70.0,76,79,68,70,55,69,77
Hélton Celanova,ST,72,72,2300000.0,6.361727836017593,2024.0,3.0,29,3,1,53.0,76.0,60.0,67.0,22.0,73.0,73,76,77,86,72,73,74
Gérson Noalha,"ST, CAM, LM",72,72,2300000.0,6.361727836017593,2024.0,3.0,29,3,1,76.0,76.0,58.0,75.0,31.0,68.0,75,64,77,86,69,76,67
Jadson Vidigal,ST,72,72,2300000.0,6.361727836017593,2024.0,3.0,29,3,1,77.0,76.0,57.0,64.0,23.0,58.0,74,70,76,81,77,61,77
Leandro Vivenço,ST,72,72,2800000.0,6.447158031342219,2024.0,3.0,21,3,1,75.0,76.0,59.0,75.0,30.0,62.0,76,65,72,83,73,75,65
C. Ninga,"LM, ST",72,72,2400000.0,6.380211241711606,2023.0,2.0,28,3,1,89.0,71.0,63.0,69.0,27.0,77.0,67,63,71,79,72,69,70
C. Bassogog,"ST, RM, RW",72,73,2800000.0,6.447158031342219,2021.0,0.0,25,2,1,86.0,69.0,59.0,74.0,38.0,73.0,70,62,65,74,60,72,74
E. Mor,"RM, ST, RW",72,78,3700000.0,6.568201724066995,2022.0,1.0,23,3,1,85.0,67.0,62.0,80.0,31.0,47.0,68,46,69,66,68,75,69
M. Koné,ST,72,76,3400000.0,6.531478917042255,2023.0,2.0,24,3,1,91.0,68.0,57.0,74.0,32.0,65.0,73,60,61,59,67,74,77
S. Banza,ST,72,75,3200000.0,6.505149978319906,2022.0,1.0,24,2,1,69.0,71.0,49.0,71.0,30.0,71.0,74,73,66,69,69,71,76
Y. Niakaté,ST,72,72,2400000.0,6.380211241711606,2024.0,3.0,28,4,1,92.0,74.0,58.0,70.0,26.0,69.0,75,61,68,78,71,64,72
J. Serra,ST,72,77,3600000.0,6.556302500767287,2025.0,4.0,23,4,1,61.0,72.0,52.0,61.0,37.0,77.0,74,76,70,80,63,70,76
C. Tarragona,ST,72,72,2300000.0,6.361727836017593,2021.0,0.0,30,4,1,83.0,71.0,53.0,70.0,43.0,80.0,73,70,55,76,66,67,74
Y. Suzuki,ST,72,76,3300000.0,6.518513939877887,2023.0,2.0,25,3,1,70.0,71.0,65.0,68.0,44.0,71.0,74,78,70,69,64,68,77
T. Tissoudali,"ST, RW, LW",72,72,2400000.0,6.380211241711606,2023.0,2.0,28,4,1,76.0,71.0,67.0,76.0,27.0,64.0,75,58,73,69,68,75,74
Y. Méïté,"ST, RM",72,76,3300000.0,6.518513939877887,2023.0,2.0,25,2,1,79.0,73.0,56.0,64.0,49.0,86.0,73,79,70,83,65,54,75
M. Lovera,"LM, CAM, ST",72,78,3800000.0,6.57978359661681,2021.0,0.0,22,3,1,87.0,61.0,63.0,79.0,31.0,62.0,63,52,45,61,62,78,64
J. Eggestein,"ST, RW",72,78,3700000.0,6.568201724066995,2024.0,3.0,23,4,1,70.0,71.0,67.0,74.0,37.0,61.0,74,68,70,72,65,76,73
J. Maja,ST,72,78,3800000.0,6.57978359661681,2023.0,2.0,22,3,1,76.0,71.0,62.0,73.0,28.0,58.0,73,65,62,70,68,74,74
G. Kvilitaia,ST,72,72,2500000.0,6.3979400086720375,2024.0,3.0,27,4,1,61.0,71.0,59.0,70.0,37.0,73.0,74,73,73,71,66,74,73
Marc Cardona,"ST, LW",72,74,3000000.0,6.477121254719663,2022.0,1.0,25,3,1,75.0,71.0,61.0,71.0,27.0,61.0,72,72,68,73,67,73,74
G. Berterame,"LM, ST, RM",72,82,5500000.0,6.740362689494244,2022.0,1.0,22,3,1,77.0,67.0,65.0,71.0,33.0,68.0,77,70,60,59,55,68,73
F. Coman,"LW, ST",72,79,4700000.0,6.672097857935717,2022.0,1.0,23,3,1,83.0,69.0,68.0,72.0,43.0,67.0,69,56,53,74,72,72,68
D. Srbeny,ST,72,72,2500000.0,6.3979400086720375,2022.0,1.0,27,3,1,65.0,69.0,58.0,69.0,33.0,72.0,73,68,60,74,57,73,77
Carlitos,"ST, CAM, LW",72,72,2000000.0,6.301029995663981,2023.0,2.0,31,2,1,79.0,73.0,68.0,75.0,27.0,70.0,74,62,68,71,73,72,74
J. García,ST,72,72,2400000.0,6.380211241711606,2021.0,0.0,28,5,1,76.0,72.0,49.0,66.0,37.0,77.0,74,78,69,76,64,67,73
L. Heredia,"RM, ST, LM",72,75,3100000.0,6.491361693834273,2024.0,3.0,25,4,1,66.0,70.0,68.0,73.0,35.0,67.0,72,58,72,74,64,75,73
C. Garcés,ST,72,72,2000000.0,6.301029995663981,2023.0,2.0,31,3,1,65.0,73.0,51.0,63.0,32.0,80.0,77,76,70,72,65,65,80
J. Wind,"ST, CF",72,79,4800000.0,6.681241237375588,2025.0,4.0,22,3,1,71.0,70.0,67.0,72.0,35.0,78.0,70,71,64,73,66,74,74
Douglas,ST,72,72,1500000.0,6.176091259055681,2022.0,1.0,33,3,1,70.0,74.0,49.0,69.0,28.0,69.0,73,73,76,78,69,73,75
Klauss,ST,72,77,3600000.0,6.556302500767287,2022.0,1.0,24,3,1,65.0,72.0,63.0,66.0,35.0,84.0,72,77,67,78,67,70,74
G. Zarfino,"CDM, CM, ST",72,72,2000000.0,6.301029995663981,2022.0,1.0,29,3,1,53.0,66.0,61.0,65.0,69.0,81.0,65,72,50,74,65,70,70
B. Samudio,"LM, RM, ST",72,74,2900000.0,6.4623979978989565,2024.0,3.0,25,3,1,76.0,69.0,63.0,74.0,38.0,70.0,72,72,52,72,63,75,72
